Cond S1
1 81.7
2 81.6
3 -2796.4
4 69.3
5 96.5
6 99.2
7 87.4
8 99.1
9 77.2
10 72.6
11 94.1
12 66.4
13 98.7
14 70.5
15 91.9
16 77.9
17 81.7
18 98.9
19 50.2
20 -31.9
21 80.8
22 44.0
23 96.5
24 82.3
25 84.9
26 79.9
27 -135.9
28 58.9
29 37.4
30 -75.7
31 98.3
32 -1380.8
33 76.7
34 98.7
35 85.9
36 78.8
37 66.6
38 68.7
39 44.8
40 -249.0
41 97.8
42 82.8
43 23.5
44 12.7
45 92.9
46 34.6
47 97.9
48 98.1
49 70.1
50 83.1
51 22.6
52 77.7
53 55.3
54 95.6
55 69.1
56 99.7
57 72.4
58 99.6
59 37.4
60 77.3
